"AREA";"PERIMETER";"PR_";"PR_ID";"RINGS_OK";"RINGS_NOK";"WRSPR";"PR";"PATH";"ROW";"MODE";"DAYCLASS";"SEQUENCE";"ctry_id";"ctry_name";"ctry_abbr"
15.74326;26.98611;1;1;1;0;13001;13001;13;1;"D";1;2233;93;"Greenland";"GR"
14.55366;25.84254;2;2;1;0;13002;13002;13;2;"D";1;2234;93;"Greenland";"GR"
13.37247;24.20303;3;3;1;0;13003;13003;13;3;"D";1;2235;93;"Greenland";"GR"
12.26691;22.40265;4;4;1;0;13004;13004;13;4;"D";1;2236;93;"Greenland";"GR"
11.26511;20.64284;5;5;1;0;13005;13005;13;5;"D";1;2237;93;"Greenland";"GR"
10.37242;19.022;6;6;1;0;13006;13006;13;6;"D";1;2238;93;"Greenland";"GR"
9.5844;17.5769;7;7;1;0;13007;13007;13;7;"D";1;2239;93;"Greenland";"GR"
8.89157;16.31076;8;8;1;0;13008;13008;13;8;"D";1;2240;93;"Greenland";"GR"
8.28195;15.21095;9;9;1;0;13009;13009;13;9;"D";1;2241;93;"Greenland";"GR"
7.74485;14.25889;10;10;1;0;13010;13010;13;10;"D";1;2242;93;"Greenland";"GR"
7.26961;13.4345;11;11;1;0;13011;13011;13;11;"D";1;2243;93;"Greenland";"GR"
6.47281;12.09622;13;13;1;0;13013;13013;13;13;"D";1;2245;40;"Canada";"CA"
6.13698;11.55121;14;14;1;0;13014;13014;13;14;"D";1;2246;40;"Canada";"CA"
5.56424;10.64864;16;16;1;0;13016;13016;13;16;"D";1;2248;40;"Canada";"CA"
5.31917;10.27285;17;17;1;0;13017;13017;13;17;"D";1;2249;40;"Canada";"CA"
5.09626;9.937;18;18;1;0;13018;13018;13;18;"D";1;2250;40;"Canada";"CA"
4.89389;9.63607;19;19;1;0;13019;13019;13;19;"D";1;2251;40;"Canada";"CA"
4.70902;9.36501;20;20;1;0;13020;13020;13;20;"D";1;2252;40;"Canada";"CA"
4.53983;9.11966;21;21;1;0;13021;13021;13;21;"D";1;2253;40;"Canada";"CA"
4.38475;8.89714;22;22;1;0;13022;13022;13;22;"D";1;2254;40;"Canada";"CA"
4.24221;8.69432;23;23;1;0;13023;13023;13;23;"D";1;2255;40;"Canada";"CA"
4.11088;8.50909;24;24;1;0;13024;13024;13;24;"D";1;2256;40;"Canada";"CA"
3.98964;8.33924;25;25;1;0;13025;13025;13;25;"D";1;2257;40;"Canada";"CA"
3.87785;8.18358;26;26;1;0;13026;13026;13;26;"D";1;2258;40;"Canada";"CA"
3.77403;8.03996;27;27;1;0;13027;13027;13;27;"D";1;2259;40;"Canada";"CA"
3.77403;8.03996;27;27;1;0;13027;13027;13;27;"D";1;2259;239;"United States of America";"US"
3.67783;7.9075;28;28;1;0;13028;13028;13;28;"D";1;2260;40;"Canada";"CA"
3.67783;7.9075;28;28;1;0;13028;13028;13;28;"D";1;2260;239;"United States of America";"US"
3.58842;7.78504;29;29;1;0;13029;13029;13;29;"D";1;2261;40;"Canada";"CA"
3.58842;7.78504;29;29;1;0;13029;13029;13;29;"D";1;2261;239;"United States of America";"US"
3.50545;7.67177;30;30;1;0;13030;13030;13;30;"D";1;2262;239;"United States of America";"US"
3.42827;7.56683;31;31;1;0;13031;13031;13;31;"D";1;2263;239;"United States of America";"US"
3.35638;7.46945;32;32;1;0;13032;13032;13;32;"D";1;2264;239;"United States of America";"US"
3.28943;7.37898;33;33;1;0;13033;13033;13;33;"D";1;2265;239;"United States of America";"US"
3.16907;7.21698;35;35;1;0;13035;13035;13;35;"D";1;2267;239;"United States of America";"US"
3.11486;7.14428;36;36;1;0;13036;13036;13;36;"D";1;2268;239;"United States of America";"US"
2.89497;6.851;41;41;1;0;13041;13041;13;41;"D";1;2273;26;"Commonwealth of the Bahamas";"BH"
2.85981;6.80436;42;42;1;0;13042;13042;13;42;"D";1;2274;26;"Commonwealth of the Bahamas";"BH"
2.82726;6.76119;43;43;1;0;13043;13043;13;43;"D";1;2275;26;"Commonwealth of the Bahamas";"BH"
2.79713;6.72129;44;44;1;0;13044;13044;13;44;"D";1;2276;56;"Republic of Cuba";"CU"
2.79713;6.72129;44;44;1;0;13044;13044;13;44;"D";1;2276;26;"Commonwealth of the Bahamas";"BH"
2.76919;6.68435;45;45;1;0;13045;13045;13;45;"D";1;2277;56;"Republic of Cuba";"CU"
2.74355;6.65049;46;46;1;0;13046;13046;13;46;"D";1;2278;56;"Republic of Cuba";"CU"
2.74355;6.65049;46;46;1;0;13046;13046;13;46;"D";1;2278;58;"Cayman Islands";"CY"
2.72015;6.61959;47;47;1;0;13047;13047;13;47;"D";1;2279;114;"Jamaica";"JA"
2.6792;6.56561;49;49;1;0;13049;13049;13;49;"D";1;2281;28;"Bajo Nuevo Bank (Petrel Islands)";"BJ"
2.64601;6.52191;51;51;1;0;13051;13051;13;51;"D";1;2283;51;"Republic of Colombia";"CO"
2.60932;6.47369;54;54;1;0;13054;13054;13;54;"D";1;2286;176;"Republic of Panama";"PA"
2.60054;6.46216;55;55;1;0;13055;13055;13;55;"D";1;2287;176;"Republic of Panama";"PA"
2.58777;6.4454;57;57;1;0;13057;13057;13;57;"D";1;2289;51;"Republic of Colombia";"CO"
8.89139;16.30985;112;112;1;0;13112;13112;13;112;"D";1;2344;12;"Antarctica";"AT"
9.58461;17.57656;113;113;1;0;13113;13113;13;113;"D";1;2345;12;"Antarctica";"AT"
10.37279;19.02258;114;114;1;0;13114;13114;13;114;"D";1;2346;12;"Antarctica";"AT"
11.26545;20.64343;115;115;1;0;13115;13115;13;115;"D";1;2347;12;"Antarctica";"AT"
12.26725;22.40324;116;116;1;0;13116;13116;13;116;"D";1;2348;12;"Antarctica";"AT"
13.37197;24.20224;117;117;1;0;13117;13117;13;117;"D";1;2349;12;"Antarctica";"AT"
14.55279;25.84115;118;118;1;0;13118;13118;13;118;"D";1;2350;12;"Antarctica";"AT"
15.74391;26.9876;119;119;1;0;13119;13119;13;119;"D";1;2351;12;"Antarctica";"AT"
16.81781;27.20858;120;120;1;0;13120;13120;13;120;"D";1;2352;12;"Antarctica";"AT"
17.59407;26.34436;247;247;1;0;13247;13247;13;247;"D";1;2479;93;"Greenland";"GR"
